"ISO3","CO2/population",Year,Units
BRN,15.208,2019,tCO2 / Capita
AUS,15.158,2019,tCO2 / Capita
KOR,11.626,2019,tCO2 / Capita
TWN,11.375,2019,tCO2 / Capita
JPN,8.273,2019,tCO2 / Capita
SGP,7.903,2019,tCO2 / Capita
MYS,7.06,2019,tCO2 / Capita
CHN,7.044,2019,tCO2 / Capita
MNG,7.011,2019,tCO2 / Capita
NZL,6.576,2019,tCO2 / Capita
HKG,5.679,2019,tCO2 / Capita
THA,3.531,2019,tCO2 / Capita
VNM,2.966,2019,tCO2 / Capita
LAO,2.386,2019,tCO2 / Capita
IDN,2.112,2019,tCO2 / Capita
IND,1.654,2019,tCO2 / Capita
PHL,1.216,2019,tCO2 / Capita
LKA,1.032,2019,tCO2 / Capita
KHM,0.778,2019,tCO2 / Capita
PAK,0.753,2019,tCO2 / Capita
MMR,0.585,2019,tCO2 / Capita
BGD,0.557,2019,tCO2 / Capita
NPL,0.335,2019,tCO2 / Capita